ep,return,steps,corr_frac,pol_loss,val_loss,entropy,smooth_return
1,-124.5,300,0.056666666666666664,-0.5151029825210571,458.4422607421875,3.8033335208892822,-124.5
2,-109.5,300,0.09,0.864697277545929,426.2510681152344,3.605861186981201,-123.74999999999999
3,-145.5,300,0.01,0.478911817073822,623.2033081054688,4.662425994873047,-124.83749999999999
4,-96.0,300,0.12,0.010937321931123734,292.5780334472656,2.7657387256622314,-123.39562499999998
5,-124.5,300,0.056666666666666664,-0.3350752890110016,477.3011474609375,3.521909236907959,-123.45084374999998
6,-49.5,123,0.06504065040650407,-0.23994919657707214,187.22572326660156,3.696995496749878,-119.75330156249997
7,4.0,7,0.7142857142857143,-0.6760240793228149,2.5815460681915283,1.24464750289917,-113.56563648437496
8,-124.5,300,0.056666666666666664,-0.21300488710403442,463.4490661621094,3.3473422527313232,-114.1123546601562
9,-93.0,300,0.12666666666666668,-0.06237363442778587,269.381103515625,2.510084390640259,-113.05673692714839
10,-144.0,300,0.013333333333333334,0.013248139061033726,608.3632202148438,4.69898796081543,-114.60390008079096
11,-106.5,300,0.09666666666666666,-0.14447437226772308,357.7464599609375,3.0436525344848633,-114.19870507675141
12,-138.0,300,0.02666666666666667,0.10658872127532959,592.6452026367188,4.390159606933594,-115.38876982291384
13,-67.0,206,0.11650485436893204,-0.11647013574838638,201.96624755859375,2.675590991973877,-112.96933133176815
14,-141.0,300,0.02,0.09018830955028534,614.0643920898438,4.831165790557861,-114.37086476517973
15,-58.5,300,0.20333333333333334,0.004686940461397171,122.64745330810547,2.3892338275909424,-111.57732152692074
16,-102.0,297,0.10437710437710437,-0.15021447837352753,417.581787109375,3.2786154747009277,-111.09845545057469
17,-29.0,163,0.2147239263803681,-0.28742530941963196,91.12408447265625,2.3263773918151855,-106.99353267804595
18,-102.0,273,0.08424908424908426,-0.03749378025531769,408.01361083984375,3.5580923557281494,-106.74385604414364
19,-130.5,300,0.043333333333333335,0.4263632297515869,482.8558349609375,3.9334299564361572,-107.93166324193646
20,-135.0,300,0.03333333333333333,0.4102565348148346,550.0588989257812,4.245489120483398,-109.28508007983963
21,-42.0,300,0.24,-0.23729798197746277,72.31788635253906,1.9289783239364624,-105.92082607584764
22,-117.0,255,0.027450980392156862,-0.5524103045463562,519.901123046875,4.127625465393066,-106.47478477205524
23,-111.0,273,0.06227106227106227,0.1860385686159134,474.037841796875,4.439864158630371,-106.70104553345247
24,-56.5,131,0.04580152671755725,-0.23023974895477295,216.9705047607422,3.4698216915130615,-104.19099325677985
25,-82.5,300,0.15,-0.4513802230358124,322.1784973144531,2.975451707839966,-103.10644359394085
26,-75.0,300,0.16666666666666666,-0.022939300164580345,181.481201171875,2.9655842781066895,-101.7011214142438
27,-27.0,81,0.1111111111111111,-0.6295311450958252,65.46013641357422,3.4632904529571533,-97.9660653435316
28,-127.5,300,0.05,0.21405619382858276,549.9249267578125,4.557128429412842,-99.44276207635501
29,-42.0,87,0.011494252873563218,-0.022703608497977257,162.6766357421875,4.803496360778809,-96.57062397253725
30,-100.5,300,0.11,-0.018217621371150017,313.6888732910156,2.6507675647735596,-96.76709277391039
31,-100.5,300,0.11,-0.6890798211097717,338.1688537597656,2.907582998275757,-96.95373813521488
32,-123.0,300,0.06,-0.11624690145254135,540.5564575195312,4.421640872955322,-98.25605122845414
33,-136.5,300,0.03,0.1717161238193512,554.302978515625,4.127190113067627,-100.16824866703143
34,-141.0,300,0.02,0.1461426317691803,584.7677612304688,4.610176086425781,-102.20983623367985
35,-23.0,73,0.1232876712328767,-0.19485583901405334,64.125244140625,3.780769109725952,-98.24934442199586
36,-121.5,300,0.06333333333333334,-0.0336589552462101,453.99725341796875,3.374974012374878,-99.41187720089606
37,-123.0,300,0.06,-0.303497314453125,509.2987060546875,3.68259859085083,-100.59128334085126
38,-115.5,300,0.07666666666666666,-0.11959859728813171,445.4840087890625,3.608121871948242,-101.3367191738087
39,-87.0,300,0.14,-0.1758510321378708,194.62826538085938,2.388115406036377,-100.61988321511826
40,-135.0,300,0.03333333333333333,0.6450819969177246,580.4904174804688,4.311983108520508,-102.33888905436234
41,-2.5,38,0.2894736842105263,-0.07599065452814102,3.8705661296844482,2.5209403038024902,-97.34694460164422
42,-115.5,300,0.07666666666666666,0.38619333505630493,388.7442321777344,3.876108407974243,-98.25459737156201
43,-124.5,300,0.056666666666666664,-0.47240927815437317,458.74658203125,4.128616809844971,-99.5668675029839
